case_id,activity,step_index,percent_done,timestamp,resource,weather_condition,traffic_index,weekday,is_holiday,delay_so_far,driver_factor,black_swan_event,black_swan_delay,label_remaining_time,label_next_activity,label_on_time,label_risk_score
CASE_0008,Abholung,1,0.2,2024-11-03 10:33:00.000000,Fahrer_3,regen,0.3,6,0,30.2,1.15,none,0.0,1274.0,Depot_Eingang,0,1.0
CASE_0008,Depot_Eingang,2,0.4,2024-11-03 11:34:12.574384,Fahrer_3,regen,0.09,6,0,77.0,1.15,none,0.0,1212.8,Zollabfertigung,0,1.0
CASE_0008,Zollabfertigung,3,0.6,2024-11-03 13:46:58.118486,Fahrer_3,schnee,0.07,6,0,200.3,1.15,none,0.0,1080.1,Hauptlauf,0,1.0
CASE_0008,Hauptlauf,4,0.8,2024-11-03 18:05:15.552427,Fahrer_3,klar,0.51,6,0,398.0,1.15,none,0.0,821.8,Auslieferung,0,1.0
CASE_0008,Auslieferung,5,1.0,2024-11-04 07:47:02.802978,Fahrer_3,regen,0.8,0,0,478.6,1.15,none,0.0,0.0,END,0,1.0
CASE_0009,Abholung,1,0.2,2024-07-12 14:18:00.000000,Fahrer_10,nebel,0.4,4,0,42.8,0.89,none,0.0,1371.1,Depot_Eingang,0,0.46
CASE_0009,Depot_Eingang,2,0.4,2024-07-12 15:38:47.155994,Fahrer_10,klar,0.52,4,0,63.5,0.89,none,0.0,1290.3,Zollabfertigung,0,0.46
CASE_0009,Zollabfertigung,3,0.6,2024-07-12 18:23:32.481044,Fahrer_10,klar,0.77,4,0,96.8,0.89,none,0.0,1125.6,Hauptlauf,0,0.46
CASE_0009,Hauptlauf,4,0.8,2024-07-13 02:52:49.782458,Fahrer_10,nebel,0.09,5,0,125.1,0.89,none,0.0,616.3,Auslieferung,0,0.46
CASE_0009,Auslieferung,5,1.0,2024-07-13 13:09:07.570301,Fahrer_10,regen,0.0,5,0,136.9,0.89,none,0.0,0.0,END,0,0.46
CASE_0010,Abholung,1,0.25,2024-12-08 08:54:00.000000,Fahrer_16,schnee,0.61,6,0,72.6,0.83,none,0.0,502.4,Depot_Eingang,0,0.31
CASE_0010,Depot_Eingang,2,0.5,2024-12-08 11:36:38.921326,Fahrer_16,klar,0.17,6,0,72.7,0.83,none,0.0,339.8,Hauptlauf,0,0.31
CASE_0010,Hauptlauf,3,0.75,2024-12-08 13:22:39.477122,Fahrer_16,regen,0.18,6,0,75.4,0.83,none,0.0,233.8,Auslieferung,0,0.31
CASE_0010,Auslieferung,4,1.0,2024-12-08 17:16:24.612696,Fahrer_16,klar,0.53,6,0,93.6,0.83,none,0.0,0.0,END,0,0.31
CASE_0011,Abholung,1,0.2,2024-02-12 08:50:00.000000,Fahrer_8,klar,0.82,0,0,62.7,1.06,none,0.0,1440.3,Depot_Eingang,0,1.0
CASE_0011,Depot_Eingang,2,0.4,2024-02-12 11:17:44.999263,Fahrer_8,klar,0.41,0,0,106.4,1.06,none,0.0,1292.5,Zollabfertigung,0,1.0
CASE_0011,Zollabfertigung,3,0.6,2024-02-12 13:06:26.924686,Fahrer_8,klar,0.48,0,0,317.1,1.06,none,0.0,1183.8,Hauptlauf,0,1.0
CASE_0011,Hauptlauf,4,0.8,2024-02-12 19:18:07.026909,Fahrer_8,klar,0.54,0,0,457.3,1.06,none,0.0,812.2,Auslieferung,0,1.0
CASE_0011,Auslieferung,5,1.0,2024-02-13 08:50:16.621568,Fahrer_8,klar,0.56,1,0,480.8,1.06,none,0.0,0.0,END,0,1.0
CASE_0012,Abholung,1,0.25,2024-05-23 16:46:00.000000,Fahrer_12,nebel,0.71,3,0,82.4,1.08,none,0.0,899.3,Depot_Eingang,0,1.0
CASE_0012,Depot_Eingang,2,0.5,2024-05-23 18:54:21.107482,Fahrer_12,klar,0.53,3,0,135.2,1.08,none,0.0,770.9,Hauptlauf,0,1.0
CASE_0012,Hauptlauf,3,0.75,2024-05-23 21:53:13.225172,Fahrer_12,schnee,0.37,3,0,350.3,1.08,none,0.0,592.1,Auslieferung,0,1.0
CASE_0012,Auslieferung,4,1.0,2024-05-24 07:45:16.534726,Fahrer_12,klar,0.79,4,0,379.4,1.08,none,0.0,0.0,END,0,1.0
CASE_0013,Abholung,1,0.2,2024-03-25 14:34:00.000000,Fahrer_12,regen,0.53,0,0,24.0,0.8,none,0.0,913.8,Depot_Eingang,0,0.2
CASE_0013,Depot_Eingang,2,0.4,2024-03-25 16:25:57.394098,Fahrer_12,regen,0.78,0,0,47.1,0.8,none,0.0,801.9,Zollabfertigung,0,0.2
CASE_0013,Zollabfertigung,3,0.6,2024-03-25 19:35:04.148092,Fahrer_12,nebel,0.61,0,0,72.3,0.8,none,0.0,612.8,Hauptlauf,0,0.2
CASE_0013,Hauptlauf,4,0.8,2024-03-26 00:45:17.550447,Fahrer_12,klar,0.25,1,0,42.8,0.8,none,0.0,302.5,Auslieferung,0,0.2
CASE_0013,Auslieferung,5,1.0,2024-03-26 05:47:49.463487,Fahrer_12,regen,0.22,1,0,60.2,0.8,none,0.0,0.0,END,0,0.2
CASE_0014,Abholung,1,0.25,2024-01-05 11:20:00.000000,Fahrer_8,regen,0.56,4,0,38.0,1.14,none,0.0,516.9,Depot_Eingang,0,0.81
CASE_0014,Depot_Eingang,2,0.5,2024-01-05 12:52:57.281051,Fahrer_8,regen,0.47,4,0,119.3,1.14,none,0.0,423.9,Hauptlauf,0,0.81
CASE_0014,Hauptlauf,3,0.75,2024-01-05 15:22:19.206191,Fahrer_8,klar,0.37,4,0,193.9,1.14,none,0.0,274.5,Auslieferung,0,0.81
CASE_0014,Auslieferung,4,1.0,2024-01-05 19:56:52.006511,Fahrer_8,klar,0.47,4,0,242.8,1.14,none,0.0,0.0,END,0,0.81
CASE_0015,Abholung,1,0.2,2024-04-28 08:58:00.000000,Fahrer_9,schnee,0.7,6,0,139.7,1.2,Fahrzeugpanne,166.7,1623.0,Depot_Eingang,0,1.0
CASE_0015,Depot_Eingang,2,0.4,2024-04-28 11:48:39.326574,Fahrer_9,klar,0.11,6,0,189.0,1.2,none,0.0,1452.4,Zollabfertigung,0,1.0
CASE_0015,Zollabfertigung,3,0.6,2024-04-28 14:50:02.123847,Fahrer_9,regen,0.1,6,0,294.1,1.2,none,0.0,1271.0,Hauptlauf,0,1.0
CASE_0015,Hauptlauf,4,0.8,2024-04-28 20:17:07.619876,Fahrer_9,nebel,0.19,6,0,571.0,1.2,none,0.0,943.9,Auslieferung,0,1.0
CASE_0015,Auslieferung,5,1.0,2024-04-29 12:01:00.967667,Fahrer_9,klar,0.59,0,0,623.6,1.2,none,0.0,0.0,END,0,1.0
CASE_0016,Abholung,1,0.25,2024-01-18 14:22:00.000000,Fahrer_11,klar,0.3,3,0,-3.5,0.82,none,0.0,591.2,Depot_Eingang,1,-0.21
CASE_0016,Depot_Eingang,2,0.5,2024-01-18 15:39:28.366020,Fahrer_11,regen,0.28,3,0,-3.7,0.82,none,0.0,513.7,Hauptlauf,1,-0.21
CASE_0016,Hauptlauf,3,0.75,2024-01-18 17:50:15.238900,Fahrer_11,klar,0.63,3,0,-73.8,0.82,none,0.0,383.0,Auslieferung,1,-0.21
CASE_0016,Auslieferung,4,1.0,2024-01-19 00:13:12.567665,Fahrer_11,regen,0.37,4,0,-63.1,0.82,Fahrzeugpanne,75.7,0.0,END,1,-0.21
CASE_0017,Abholung,1,0.2,2024-01-06 08:35:00.000000,Fahrer_6,klar,0.55,5,0,12.7,0.85,none,0.0,1041.1,Depot_Eingang,1,-0.04
CASE_0017,Depot_Eingang,2,0.4,2024-01-06 09:24:43.495098,Fahrer_6,klar,0.58,5,0,27.1,0.85,none,0.0,991.3,Zollabfertigung,1,-0.04
CASE_0017,Zollabfertigung,3,0.6,2024-01-06 11:04:05.376570,Fahrer_6,klar,0.06,5,0,-29.5,0.85,none,0.0,892.0,Hauptlauf,1,-0.04
CASE_0017,Hauptlauf,4,0.8,2024-01-06 16:35:28.532259,Fahrer_6,schnee,0.6,5,0,-10.9,0.85,none,0.0,560.6,Auslieferung,1,-0.04
CASE_0017,Auslieferung,5,1.0,2024-01-07 01:56:04.374257,Fahrer_6,klar,0.13,6,0,-11.7,0.85,none,0.0,0.0,END,1,-0.04
CASE_0018,Abholung,1,0.25,2024-05-28 16:59:00.000000,Fahrer_18,klar,0.62,1,0,41.8,1.09,Grenzsperre,277.5,838.5,Depot_Eingang,0,0.84
CASE_0018,Depot_Eingang,2,0.5,2024-05-28 18:19:49.555280,Fahrer_18,regen,0.66,1,0,144.1,1.09,none,0.0,757.6,Hauptlauf,0,0.84
CASE_0018,Hauptlauf,3,0.75,2024-05-28 22:51:05.549277,Fahrer_18,klar,0.3,1,0,231.5,1.09,none,0.0,486.4,Auslieferung,0,0.84
CASE_0018,Auslieferung,4,1.0,2024-05-29 06:57:27.617809,Fahrer_18,klar,0.32,2,0,252.8,1.09,none,0.0,0.0,END,0,0.84
CASE_0019,Abholung,1,0.25,2024-12-23 09:45:00.000000,Fahrer_18,klar,0.77,0,0,22.5,0.86,none,0.0,775.9,Depot_Eingang,0,0.24
CASE_0019,Depot_Eingang,2,0.5,2024-12-23 10:58:32.912744,Fahrer_18,regen,0.43,0,0,64.1,0.86,none,0.0,702.3,Hauptlauf,0,0.24
CASE_0019,Hauptlauf,3,0.75,2024-12-23 13:24:05.726019,Fahrer_18,klar,0.51,0,0,65.9,0.86,none,0.0,556.8,Auslieferung,0,0.24
CASE_0019,Auslieferung,4,1.0,2024-12-23 22:40:51.062101,Fahrer_18,klar,0.46,0,0,72.5,0.86,none,0.0,0.0,END,0,0.24
CASE_0020,Abholung,1,0.2,2024-07-24 08:25:00.000000,Fahrer_12,regen,0.66,2,0,34.0,1.09,none,0.0,1356.6,Depot_Eingang,0,1.0
CASE_0020,Depot_Eingang,2,0.4,2024-07-24 10:00:58.562755,Fahrer_12,regen,0.34,2,0,88.6,1.09,Unfall,331.5,1260.7,Zollabfertigung,0,1.0
CASE_0020,Zollabfertigung,3,0.6,2024-07-24 13:18:36.767350,Fahrer_12,klar,0.25,2,0,243.4,1.09,none,0.0,1063.0,Hauptlauf,0,1.0
CASE_0020,Hauptlauf,4,0.8,2024-07-24 20:01:25.122631,Fahrer_12,regen,0.32,2,0,386.6,1.09,none,0.0,660.2,Auslieferung,0,1.0
CASE_0020,Auslieferung,5,1.0,2024-07-25 07:01:38.556250,Fahrer_12,klar,0.69,3,0,426.3,1.09,none,0.0,0.0,END,0,1.0
CASE_0021,Abholung,1,0.2,2024-08-31 09:55:00.000000,Fahrer_13,regen,0.6,5,0,61.9,1.22,none,0.0,1600.6,Depot_Eingang,0,1.0
CASE_0021,Depot_Eingang,2,0.4,2024-08-31 11:59:51.660854,Fahrer_13,klar,0.1,5,0,121.9,1.22,none,0.0,1475.7,Zollabfertigung,0,1.0
CASE_0021,Zollabfertigung,3,0.6,2024-08-31 15:39:53.063619,Fahrer_13,nebel,0.3,5,0,429.1,1.22,Fahrzeugpanne,84.1,1255.7,Hauptlauf,0,1.0
CASE_0021,Hauptlauf,4,0.8,2024-08-31 22:51:05.240293,Fahrer_13,klar,0.11,5,0,641.6,1.22,none,0.0,824.5,Auslieferung,0,1.0
CASE_0021,Auslieferung,5,1.0,2024-09-01 12:35:34.321422,Fahrer_13,klar,0.15,6,0,671.2,1.22,none,0.0,0.0,END,0,1.0
CASE_0022,Abholung,1,0.2,2024-09-09 08:41:00.000000,Fahrer_8,klar,0.77,0,0,18.6,0.97,none,0.0,1472.1,Depot_Eingang,0,1.0
CASE_0022,Depot_Eingang,2,0.4,2024-09-09 09:52:35.824500,Fahrer_8,regen,0.81,0,0,79.5,0.97,none,0.0,1400.5,Zollabfertigung,0,1.0
CASE_0022,Zollabfertigung,3,0.6,2024-09-09 13:28:27.068673,Fahrer_8,klar,0.56,0,0,204.2,0.97,none,0.0,1184.6,Hauptlauf,0,1.0
CASE_0022,Hauptlauf,4,0.8,2024-09-09 21:07:10.491608,Fahrer_8,klar,0.53,0,0,262.1,0.97,none,0.0,725.9,Auslieferung,0,1.0
CASE_0022,Auslieferung,5,1.0,2024-09-10 09:13:05.862008,Fahrer_8,regen,0.63,1,0,307.6,0.97,none,0.0,0.0,END,0,1.0
CASE_0023,Abholung,1,0.2,2024-05-05 18:31:00.000000,Fahrer_8,klar,0.49,6,0,7.1,0.94,none,0.0,1447.6,Depot_Eingang,0,0.71
CASE_0023,Depot_Eingang,2,0.4,2024-05-05 19:36:06.273794,Fahrer_8,klar,0.13,6,0,0.6,0.94,none,0.0,1382.5,Zollabfertigung,0,0.71
CASE_0023,Zollabfertigung,3,0.6,2024-05-05 22:13:34.397892,Fahrer_8,schnee,0.02,6,0,63.1,0.94,none,0.0,1225.0,Hauptlauf,0,0.71
CASE_0023,Hauptlauf,4,0.8,2024-05-06 07:03:07.298266,Fahrer_8,regen,0.81,0,0,167.6,0.94,none,0.0,695.4,Auslieferung,0,0.71
CASE_0023,Auslieferung,5,1.0,2024-05-06 18:38:33.609089,Fahrer_8,klar,0.76,0,0,213.7,0.94,none,0.0,0.0,END,0,0.71
CASE_0024,Abholung,1,0.2,2024-11-01 15:43:00.000000,Fahrer_8,klar,0.52,4,0,7.5,0.87,none,0.0,767.4,Depot_Eingang,0,0.38
CASE_0024,Depot_Eingang,2,0.4,2024-11-01 17:16:27.034846,Fahrer_8,nebel,0.74,4,0,46.3,0.87,none,0.0,674.0,Zollabfertigung,0,0.38
CASE_0024,Zollabfertigung,3,0.6,2024-11-01 19:57:18.659600,Fahrer_8,klar,0.52,4,0,45.9,0.87,none,0.0,513.1,Hauptlauf,0,0.38
CASE_0024,Hauptlauf,4,0.8,2024-11-02 00:31:52.786399,Fahrer_8,klar,0.1,5,0,39.4,0.87,none,0.0,238.5,Auslieferung,0,0.38
CASE_0024,Auslieferung,5,1.0,2024-11-02 04:30:25.618126,Fahrer_8,schnee,0.07,5,0,114.1,0.87,none,0.0,0.0,END,0,0.38
CASE_0025,Abholung,1,0.2,2024-07-01 17:13:00.000000,Fahrer_12,klar,0.86,0,0,66.8,1.06,none,0.0,1358.1,Depot_Eingang,0,1.0
CASE_0025,Depot_Eingang,2,0.4,2024-07-01 19:18:50.934714,Fahrer_12,schnee,0.57,0,0,193.9,1.06,none,0.0,1232.2,Zollabfertigung,0,1.0
CASE_0025,Zollabfertigung,3,0.6,2024-07-02 00:24:56.797712,Fahrer_12,klar,0.27,1,0,226.0,1.06,none,0.0,926.1,Hauptlauf,0,1.0
CASE_0025,Hauptlauf,4,0.8,2024-07-02 03:19:02.469983,Fahrer_12,klar,0.42,1,0,358.1,1.06,none,0.0,752.0,Auslieferung,0,1.0
CASE_0025,Auslieferung,5,1.0,2024-07-02 15:51:04.406883,Fahrer_12,regen,0.27,1,0,401.7,1.06,none,0.0,0.0,END,0,1.0
CASE_0026,Abholung,1,0.2,2024-06-14 09:43:00.000000,Fahrer_7,schnee,0.79,4,0,199.5,1.25,none,0.0,1920.5,Depot_Eingang,0,1.0
CASE_0026,Depot_Eingang,2,0.4,2024-06-14 14:24:30.829429,Fahrer_7,regen,0.46,4,0,289.5,1.25,none,0.0,1639.0,Zollabfertigung,0,1.0
CASE_0026,Zollabfertigung,3,0.6,2024-06-14 17:52:30.735125,Fahrer_7,nebel,0.79,4,0,638.1,1.25,none,0.0,1431.0,Hauptlauf,0,1.0
CASE_0026,Hauptlauf,4,0.8,2024-06-15 05:49:07.138456,Fahrer_7,klar,0.12,5,0,835.5,1.25,none,0.0,714.4,Auslieferung,0,1.0
CASE_0026,Auslieferung,5,1.0,2024-06-15 17:43:31.827742,Fahrer_7,klar,0.64,5,0,906.6,1.25,Grenzsperre,689.2,0.0,END,0,1.0
CASE_0027,Abholung,1,0.25,2024-08-15 13:57:00.000000,Fahrer_7,klar,0.35,3,0,14.1,1.08,none,0.0,754.7,Depot_Eingang,0,0.96
CASE_0027,Depot_Eingang,2,0.5,2024-08-15 15:22:03.415319,Fahrer_7,schnee,0.39,3,0,138.4,1.08,none,0.0,669.7,Hauptlauf,0,0.96
CASE_0027,Hauptlauf,3,0.75,2024-08-15 18:30:23.372939,Fahrer_7,klar,0.62,3,0,243.7,1.08,none,0.0,481.3,Auslieferung,0,0.96
CASE_0027,Auslieferung,4,1.0,2024-08-16 02:31:43.270350,Fahrer_7,klar,0.55,4,0,287.3,1.08,none,0.0,0.0,END,0,0.96
CASE_0028,Abholung,1,0.2,2024-01-23 12:34:00.000000,Fahrer_19,klar,0.34,1,0,33.8,1.27,none,0.0,1439.2,Depot_Eingang,0,1.0
CASE_0028,Depot_Eingang,2,0.4,2024-01-23 14:03:49.773451,Fahrer_19,regen,0.27,1,0,126.9,1.27,none,0.0,1349.4,Zollabfertigung,0,1.0
CASE_0028,Zollabfertigung,3,0.6,2024-01-23 17:27:51.391293,Fahrer_19,regen,0.56,1,0,286.8,1.27,none,0.0,1145.4,Hauptlauf,0,1.0
CASE_0028,Hauptlauf,4,0.8,2024-01-23 23:59:45.986001,Fahrer_19,regen,0.27,1,0,539.2,1.27,none,0.0,753.5,Auslieferung,0,1.0
CASE_0028,Auslieferung,5,1.0,2024-01-24 12:33:14.798412,Fahrer_19,klar,0.32,2,0,592.2,1.27,none,0.0,0.0,END,0,1.0
CASE_0029,Abholung,1,0.25,2024-05-01 10:57:00.000000,Fahrer_10,schnee,0.33,2,1,163.3,1.15,none,0.0,1347.1,Depot_Eingang,0,1.0
CASE_0029,Depot_Eingang,2,0.5,2024-05-01 15:05:19.084558,Fahrer_10,klar,0.27,2,1,215.0,1.15,none,0.0,1098.8,Hauptlauf,0,1.0
CASE_0029,Hauptlauf,3,0.75,2024-05-01 18:15:58.025565,Fahrer_10,klar,0.63,2,1,435.1,1.15,none,0.0,908.1,Auslieferung,0,1.0
CASE_0029,Auslieferung,4,1.0,2024-05-02 09:24:06.500025,Fahrer_10,regen,0.55,3,0,483.0,1.15,none,0.0,0.0,END,0,1.0
CASE_0030,Abholung,1,0.2,2024-12-17 16:59:00.000000,Fahrer_11,klar,0.66,1,0,-0.1,0.83,none,0.0,958.8,Depot_Eingang,1,-0.0
CASE_0030,Depot_Eingang,2,0.4,2024-12-17 18:17:54.035009,Fahrer_11,klar,0.67,1,0,-1.5,0.83,none,0.0,879.9,Zollabfertigung,1,-0.0
CASE_0030,Zollabfertigung,3,0.6,2024-12-17 19:38:27.108407,Fahrer_11,klar,0.26,1,0,38.1,0.83,none,0.0,799.4,Hauptlauf,1,-0.0
CASE_0030,Hauptlauf,4,0.8,2024-12-18 00:24:05.701677,Fahrer_11,klar,0.27,2,0,-6.2,0.83,none,0.0,513.8,Auslieferung,1,-0.0
CASE_0030,Auslieferung,5,1.0,2024-12-18 08:57:50.905157,Fahrer_11,klar,0.56,2,0,-0.5,0.83,none,0.0,0.0,END,1,-0.0
CASE_0031,Abholung,1,0.2,2024-01-14 15:17:00.000000,Fahrer_17,regen,0.38,6,0,40.8,0.97,none,0.0,845.6,Depot_Eingang,0,0.85
CASE_0031,Depot_Eingang,2,0.4,2024-01-14 17:27:49.276460,Fahrer_17,klar,0.61,6,0,67.1,0.97,Unfall,290.6,714.8,Zollabfertigung,0,0.85
CASE_0031,Zollabfertigung,3,0.6,2024-01-14 20:13:03.813366,Fahrer_17,klar,0.09,6,0,84.7,0.97,none,0.0,549.6,Hauptlauf,0,0.85
CASE_0031,Hauptlauf,4,0.8,2024-01-14 23:39:41.809873,Fahrer_17,klar,0.12,6,0,110.6,0.97,none,0.0,342.9,Auslieferung,0,0.85
CASE_0031,Auslieferung,5,1.0,2024-01-15 05:22:37.208331,Fahrer_17,schnee,0.51,0,0,255.0,0.97,none,0.0,0.0,END,0,0.85
CASE_0032,Abholung,1,0.25,2024-06-17 09:05:00.000000,Fahrer_1,klar,0.79,0,0,57.8,1.22,none,0.0,706.8,Depot_Eingang,0,1.0
CASE_0032,Depot_Eingang,2,0.5,2024-06-17 10:40:46.529480,Fahrer_1,klar,0.48,0,0,95.9,1.22,none,0.0,611.0,Hauptlauf,0,1.0
CASE_0032,Hauptlauf,3,0.75,2024-06-17 12:24:55.147314,Fahrer_1,klar,0.47,0,0,250.8,1.22,none,0.0,506.9,Auslieferung,0,1.0
CASE_0032,Auslieferung,4,1.0,2024-06-17 20:51:47.775017,Fahrer_1,klar,0.41,0,0,305.7,1.22,none,0.0,0.0,END,0,1.0
CASE_0033,Abholung,1,0.25,2024-08-17 17:46:00.000000,Fahrer_7,schnee,0.53,5,0,113.5,1.16,none,0.0,631.0,Depot_Eingang,0,0.96
CASE_0033,Depot_Eingang,2,0.5,2024-08-17 20:57:29.777500,Fahrer_7,regen,0.08,5,0,174.5,1.16,none,0.0,439.5,Hauptlauf,0,0.96
CASE_0033,Hauptlauf,3,0.75,2024-08-17 23:07:29.782250,Fahrer_7,regen,0.1,5,0,274.0,1.16,none,0.0,309.5,Auslieferung,0,0.96
CASE_0033,Auslieferung,4,1.0,2024-08-18 04:16:58.678097,Fahrer_7,klar,0.05,6,0,288.7,1.16,none,0.0,0.0,END,0,0.96
CASE_0034,Abholung,1,0.2,2024-12-18 16:18:00.000000,Fahrer_7,regen,0.65,2,0,43.8,0.89,none,0.0,928.3,Depot_Eingang,0,0.71
CASE_0034,Depot_Eingang,2,0.4,2024-12-18 18:11:50.518499,Fahrer_7,klar,0.63,2,0,57.8,0.89,none,0.0,814.5,Zollabfertigung,0,0.71
CASE_0034,Zollabfertigung,3,0.6,2024-12-18 20:41:45.637931,Fahrer_7,regen,0.22,2,0,173.3,0.89,none,0.0,664.5,Hauptlauf,0,0.71
CASE_0034,Hauptlauf,4,0.8,2024-12-19 04:00:20.771641,Fahrer_7,klar,0.34,3,0,186.3,0.89,none,0.0,226.0,Auslieferung,0,0.71
CASE_0034,Auslieferung,5,1.0,2024-12-19 07:46:18.121582,Fahrer_7,klar,0.52,3,0,213.1,0.89,none,0.0,0.0,END,0,0.71
CASE_0035,Abholung,1,0.2,2024-09-17 08:45:00.000000,Fahrer_13,klar,0.54,1,0,34.5,1.2,none,0.0,1627.4,Depot_Eingang,0,1.0
CASE_0035,Depot_Eingang,2,0.4,2024-09-17 10:40:29.075036,Fahrer_13,klar,0.36,1,0,77.8,1.2,none,0.0,1512.0,Zollabfertigung,0,1.0
